Performer,Connections,Degree Centrality,Betweenness Centrality,Closeness Centrality
Chris Potter,24,0.75,0.0011081072825024436,0.0703125
Joshua Redman,24,0.75,0.007668927174975561,0.42105263157894735
Michael Brecker,24,0.75,0.030945725981008237,0.6389627659574467
Paul Desmond,30,0.9375,0.04498495176418563,0.715029761904762
Dizzy Gillespie,23,0.71875,0.004167575815761299,0.2222222222222222
Dexter Gordon,29,0.90625,0.007016958176232368,0.21875
J.J. Johnson,24,0.75,0.003828754131173486,0.31510416666666663
Joe Henderson,24,0.75,0.006340042126332449,0.37723214285714285
Sonny Rollins,26,0.8125,0.00932986983894242,0.6256510416666667
Gerry Mulligan,24,0.75,0.005768514639482382,0.253125
Benny Goodman,12,0.375,0.0014952956989247312,0.5268640350877193
John Coltrane,31,0.96875,0.022088759135130104,0.4375
Lee Konitz,27,0.84375,0.04926555299539171,0.790296052631579
Clifford Brown,29,0.90625,0.006132028813480426,0.15625
Phil Woods,12,0.375,0.0002400153609831029,0.566627358490566
Eric Dolphy,22,0.6875,0.0033782889377647436,0.253125
Sonny Stitt,16,0.5,0.0,0.6037735849056604
Louis Armstrong,16,0.5,0.0017521848671042217,0.33449074074074076
Woody Shaw,21,0.65625,0.00018481182795698927,0.715029761904762
Miles Davis,23,0.71875,0.003795915665875343,0.566627358490566
Wayne Shorter,32,1.0,0.05744258541637573,0.7700320512820512
Hank Mobley,19,0.59375,0.0038314815784573843,0.2403846153846154
David Liebman,23,0.71875,0.003984691383884933,0.1875
Roy Eldridge,19,0.59375,0.018704033421775356,0.5460227272727273
Bob Berg,28,0.875,0.003677835381464414,0.03125
Johnny Hodges,15,0.46875,0.0016269404878275844,0.29296875
Steve Lacy,13,0.40625,0.0,0.5460227272727273
Charlie Parker,23,0.71875,9.164222873900293e-05,0.041666666666666664
Milt Jackson,11,0.34375,0.0006516780710329096,0.30570652173913043
Ben Webster,16,0.5,0.0009072580645161291,0.600625
Lester Young,13,0.40625,0.0010008640552995392,0.484375
Art Pepper,17,0.53125,0.0,0.0
Buck Clayton,12,0.375,0.0,0.0
